# Origins of the MeTTa examples.
#
# License: MIT
# Source: https://github.com/patham9/PeTTa
# Commit: 43705f5d9ff8958ffe7f0aa6777fb8477f2401f2
# Date: 2026-07-24
#
# The 143 example programs listed below derive from that project's MeTTa
# sources. The search covers every .metta file it ships, not only its examples
# directory, because crediting too widely is the safe direction for an
# attribution. They were reorganised into the reading order this directory uses,
# and some were edited. Each row names the file it came from, how much of the
# upstream body survives with comments ignored (1.0 being unchanged), and who
# wrote it there, most commits first.
#
# Credited across those files, 13 authors:
# Carlo Nucera, DagmawiKK, Leul Negash, MikeArchbold, Nil Geisweiller, Patrick Hammer, Peter Isaev, Roman Treutlein, Tewobsta Seyoum Assefa, Vitaly Bogdanov, Zar Goertzel, ermijermy, yabets.
#
# The other 108 examples in this directory were written here.
#
# Regenerate with: python extensions/python/tools/example_origins.py --write
#
# ours	upstream	body-retained	upstream-authors
examples/ch03-atoms-and-expressions/01-comments.metta	examples/comments.metta	1.0	Patrick Hammer
examples/ch03-atoms-and-expressions/02-string.metta	examples/string.metta	1.0	Patrick Hammer
examples/ch03-atoms-and-expressions/03-string_comments.metta	examples/test_string_comments.metta	0.978	Patrick Hammer
examples/ch03-atoms-and-expressions/04-repr.metta	examples/repr.metta	1.0	Patrick Hammer; Nil Geisweiller; Roman Treutlein
examples/ch03-atoms-and-expressions/05-parse.metta	examples/parse.metta	0.986	Nil Geisweiller; Leul Negash
examples/ch04-spaces-and-matching/04-01-a-space-is-where-a-program-lives/01-spaces.metta	examples/spaces.metta	1.0	Patrick Hammer
examples/ch04-spaces-and-matching/04-01-a-space-is-where-a-program-lives/02-spaces2.metta	examples/spaces2.metta	1.0	Patrick Hammer
examples/ch04-spaces-and-matching/04-01-a-space-is-where-a-program-lives/03-spaces3.metta	examples/spaces3.metta	1.0	Patrick Hammer
examples/ch04-spaces-and-matching/04-01-a-space-is-where-a-program-lives/04-spaces_find.metta	examples/spaces_find.metta	0.975	Patrick Hammer
examples/ch04-spaces-and-matching/04-01-a-space-is-where-a-program-lives/05-spaces_succeedspredicate.metta	examples/spaces_succeedspredicate.metta	1.0	Patrick Hammer
examples/ch04-spaces-and-matching/04-01-a-space-is-where-a-program-lives/06-spaces_removeallatoms.metta	examples/spaces_removeallatoms.metta	0.969	Patrick Hammer
examples/ch04-spaces-and-matching/04-01-a-space-is-where-a-program-lives/07-add_atom_fun_space.metta	examples/add_atom_fun_space.metta	0.753	Roman Treutlein
examples/ch04-spaces-and-matching/04-01-a-space-is-where-a-program-lives/08-spacefunction.metta	examples/spacefunction.metta	1.0	Patrick Hammer
examples/ch04-spaces-and-matching/04-01-a-space-is-where-a-program-lives/09-selfprog.metta	examples/selfprog.metta	1.0	Patrick Hammer
examples/ch04-spaces-and-matching/04-02-patterns-and-bindings/01-matchsingle.metta	examples/matchsingle.metta	1.0	Patrick Hammer
examples/ch04-spaces-and-matching/04-02-patterns-and-bindings/02-matchnested.metta	examples/matchnested.metta	1.0	Patrick Hammer
examples/ch04-spaces-and-matching/04-02-patterns-and-bindings/03-matchnested2.metta	examples/matchnested2.metta	1.0	Patrick Hammer
examples/ch04-spaces-and-matching/04-02-patterns-and-bindings/05-constanthead.metta	examples/constanthead.metta	1.0	Patrick Hammer
examples/ch04-spaces-and-matching/04-02-patterns-and-bindings/06-listhead.metta	examples/listhead.metta	1.0	Patrick Hammer; Peter Isaev
examples/ch04-spaces-and-matching/04-02-patterns-and-bindings/08-unify_eval_branches.metta	examples/test_unify_eval_branches.metta	0.995	Zar Goertzel
examples/ch05-equations-and-evaluation/05-01-an-equation-is-a-rewrite/01-identity.metta	examples/identity.metta	1.0	Patrick Hammer
examples/ch05-equations-and-evaluation/05-01-an-equation-is-a-rewrite/02-twostage.metta	examples/twostage.metta	1.0	Patrick Hammer
examples/ch05-equations-and-evaluation/05-01-an-equation-is-a-rewrite/04-partialdef.metta	examples/partialdef.metta	1.0	Roman Treutlein
examples/ch05-equations-and-evaluation/05-01-an-equation-is-a-rewrite/05-smartdispatch.metta	examples/smartdispatch.metta	1.0	Patrick Hammer
examples/ch05-equations-and-evaluation/05-01-an-equation-is-a-rewrite/06-functionhead.metta	examples/functionhead.metta	0.933	Patrick Hammer
examples/ch05-equations-and-evaluation/05-01-an-equation-is-a-rewrite/07-functionhead2.metta	examples/functionhead2.metta	0.885	Patrick Hammer
examples/ch05-equations-and-evaluation/05-01-an-equation-is-a-rewrite/08-functionhead3.metta	examples/functionhead3.metta	0.95	Patrick Hammer
examples/ch05-equations-and-evaluation/05-01-an-equation-is-a-rewrite/09-multicall.metta	examples/multicall.metta	1.0	Patrick Hammer
examples/ch05-equations-and-evaluation/05-02-changing-the-equations/02-functionremoval.metta	examples/functionremoval.metta	1.0	Patrick Hammer
examples/ch05-equations-and-evaluation/05-02-changing-the-equations/03-functionremovalspec.metta	examples/functionremovalspec.metta	1.0	Patrick Hammer
examples/ch05-equations-and-evaluation/05-02-changing-the-equations/04-specialize.metta	examples/specialize.metta	0.859	Roman Treutlein; Patrick Hammer
examples/ch05-equations-and-evaluation/05-02-changing-the-equations/05-specialize_recursive_wrap.metta	examples/specialize_recursive_wrap.metta	1.0	Roman Treutlein
